85784,订的蜂蜡皮革，结果到货了是黑不溜秋的颜色；订的us7.5（40码），到货的却成了us8（41码），这是什么情况？ 海外购确实是懒得退换货了，将就吧。,3
98749,感觉就是今年值得旅行的地方推荐，每个地方极其短小,3
87578,作者的随感，驳杂。观点还前后矛盾。处于工业文明和农业文明的冲突困惑中。,3
112066,还没用 但是包装完好 没有之前提的盖子坏了的问题 但是没有纸质包装外壳 而且是从深圳保税区发货 深圳保税区的东西有些相比外面很便宜但不知道真伪啊 写了shampoo 的是洗发水 写了conditioner的是护发素,3
178096,突破常规看世界，思想上的深度和现实中的平常形成强烈碰撞，是逃避的方式还是看破红尘的大彻大悟，是作者的价值观本身具有的想改造法律和社会现实之不公平的欲望，还是对社会实际问题的矛盾用超脱的思想来回避？仁者见仁智者见智，无论从哪方面思考都可以有一定深度挖掘的理由和价值。文章短小精悍，但不妨碍思想深度的引发和启迪，推荐！,5
182827,中医大家的书，都是干货，以后此类书，还会再买。,5
194470,这个真心不错，用了几天洗得还挺干净的，而且洗完脸也不干，两瓶这个价钱真心很值!!!!又大瓶!!,5
163429,功能非常强大很好用用一两次就可以熟练操作，这样为我节省不少的时间，很喜欢，做工很好质量很不错我在实体店看的类似的比这个贵多了，很划算，物流发货很准时很到位很满意，卖家更是很有耐心服务周到。,5
25645,看图片说明很想买，到手后却很不满意，又硌又勒，很不舒服。,1
5388,为何我到现在还没有收到货？写清单在哪里？我的短信和邮箱都没有收到！,1
33491,商品都很好，所有的差评留给亚马逊的物流！,1
527,质量特别差，用不到一个月，喷嘴直接热水喷出来，烫脸上腿上了,1
43423,不好 跟我从新西兰买的不是一个味道 不知道是不是假的,2
62557,第一泡，第二泡还可以，之后就寡淡了，不耐泡，味道一般,2
68767,我想问为什么2015年的考试按照2014年的考纲编写？？？？,2
71771,粘不稳总掉下来，USB口没多久就坏了，插了完全没反应，太鸡肋了，本来就没几个面,2
130316,床很好，很结实，还送枕头，唯一的遗憾是有几个固定床架和床板的螺丝钉掉了，可能是运输途中颠簸所致，但是因为床板上螺丝的孔已经变大，无法再用螺丝将床板固定。,4
140316,手机其实不错，除了不是4G，拍照稍微逊色一点，但已经很不错，视频非常好。主要是屏幕够好，不刺眼不累眼，很喜欢。,4
152823,好，好，以前从不去评价，不知道浪费了多少积分，现在知道积分可以换钱，就要好好评价了，后来我就把这段话复制走了，既能赚积分，还省事，走到哪复制到哪，最重要的是，不用认真的评论了，不用想还差多少字，直接发出就可以了，推荐给大家！！,4
145059,给四星吧，买的第一本书下面塑封意见破开，书可能是受潮了，书整体是弯的，希望你们库存发货时候好好看看，塑封都破损了还发出来吗？给亚马逊服务一个好评，一说有问题，立马给发一本新的过来，最后一张图片是发过来新书，前面图片都是第一本，大家都看看吧，给做个参考。,4
